,,Honghuayuan,,Guanwu,,Fengxiangqiao,,Qinglongzui,,Miaolinwan West,,Bainidacun-Sanhuaicun,,Lanmaxiang South,,Lujiaozhen,,Yangliugou,,Miaolingwan Central,,Wangjiawan Riverside,,Gaojiabian,,Ludiping,,Xiaotan,,Fenxiang,,Guantangyuan,,Wangjiawan North,,Shichang,,Wangjiawan South,,,TaxonMixedID,FossilGroup
,,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,,NaN,Graptolite
125,Hirsutograptus comantis,,,,,,,,,,,,,,,,,,,,,,,,,0.82,1.5,,,0.58,0.67,,,0.5,0.61,,,0.91,2.38,,NaN,Graptolite
126,Metabolograptus nanjingensis,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,3.15,,,4,4.6,,,,,0.56,1.53,,NaN,Graptolite
127,Metabolograptus guizhouensis,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55,6.2,,,,,0,0.61,,,0,2.18,,NaN,Graptolite
128,Metabolograptus persculptus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.12,,,,,,,0,0.28,,NaN,Graptolite
129,Hirsutograptus jideliensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.67,0.6,1.6,0.28,0.37,,,0.35,1,,NaN,Graptolite
130,Normalograptus imperfectus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.48,,,,,,,0.56,1,,NaN,Graptolite
131,Hirsutograptus jinyangensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,0.67,,,0.06,0.28,,,0.35,1.1,,NaN,Graptolite
132,Neodiplograptus anhuiensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,0.67,,,0.28,0.61,,,1.63,1.88,,NaN,Graptolite
133,Hirsutograptus tuberculatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.8,,,,,,,,NaN,Graptolite
134,Korenograptus zhui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.8,,,,,,,,NaN,Graptolite
135,Normalograptus trifilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,5.8,,,,,,,,NaN,Graptolite
136,Akidograptus cuneatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15,7.35,0.5,0.61,,,0.56,2.18,,NaN,Graptolite
137,Hirsutograptus similaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.11,,,0.35,2.38,,NaN,Graptolite
138,Cystograptus ancestralis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,7.05,1.63,1.75,,NaN,Graptolite
139,Metabolograptus parvulus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.91,,NaN,Graptolite
140,Metabolograptus rhizimus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.91,,NaN,Graptolite
141,Normalograptus minor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.35,,NaN,Graptolite
142,Akidograptus giganteus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,1,,NaN,Graptolite
143,Metaclimacograptus pictus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,2.18,,NaN,Graptolite
144,Hirsutograptus robustus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,1.98,,NaN,Graptolite
145,Dimorphograptus confertus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18,2.38,,NaN,Graptolite
